model,concurrency,baseline,comet_p95_ms,baseline_p95_ms,latency_improvement_pct,latency_ratio,comet_throughput_rps,baseline_throughput_rps,throughput_improvement_pct,throughput_ratio,comet_ci_target_met,baseline_ci_target_met,comet_backend,baseline_backend
kmeans,96,wasmtime_only,9.820438285,9.78826755,-0.32866628170578904,1.0032866628170578,9614.248036907557,9637.100744448033,-0.23713259979814835,0.9976286740020185,True,True,wasmtime,wasmtime
kmeans,96,docker_only,9.820438285,17.33601796,43.352398990015814,0.5664760100998418,9614.248036907557,5642.725461108643,70.38305519507973,1.7038305519507975,True,True,wasmtime,docker
kmeans,96,random,9.820438285,16.9490964875,42.05922249458786,0.5794077750541214,9614.248036907557,5870.513651646383,63.77183680019627,1.6377183680019627,True,False,wasmtime,docker
kmeans,96,best_static,9.820438285,9.786537895,-0.34639818865177396,1.0034639818865176,9614.248036907557,9648.727320205691,-0.35734540063051273,0.9964265459936948,True,True,wasmtime,wasmtime
kmeans,192,wasmtime_only,20.928806005000002,20.440611320000002,-2.3883565777816465,1.0238835657778165,9111.17315197123,9244.096449143903,-1.4379263338926158,0.9856207366610739,False,True,wasmtime,wasmtime
kmeans,192,docker_only,20.928806005000002,36.6089217875,42.83140561614116,0.5716859438385884,9111.17315197123,5408.959665102677,68.44594369513153,1.6844594369513153,False,True,wasmtime,docker
kmeans,192,random,20.928806005000002,36.419640915,42.534287875473964,0.5746571212452604,9111.17315197123,5491.997970445534,65.89906261804562,1.6589906261804561,False,True,wasmtime,docker
kmeans,192,best_static,20.928806005000002,21.16428189,1.1126098500476909,0.9888739014995231,9111.17315197123,9039.50262802591,0.7928591527050879,1.0079285915270508,False,False,wasmtime,wasmtime
random_forest,24,wasmtime_only,3.821881358695652,3.8247114452380955,0.07399477275512856,0.9992600522724487,9003.583456998645,9120.06299092843,-1.2771790506890734,0.9872282094931093,True,True,wasmtime,wasmtime
random_forest,24,docker_only,3.821881358695652,4.497182945,15.016102181370064,0.8498389781862994,9003.583456998645,5663.752718950569,58.96851264133068,1.5896851264133067,True,True,wasmtime,docker
random_forest,24,random,3.821881358695652,4.331671260833334,11.768896378337061,0.8823110362166294,9003.583456998645,5967.943232669799,50.86576909296158,1.5086576909296159,True,False,wasmtime,docker
random_forest,24,best_static,3.821881358695652,3.8560329025000004,0.8856652592929544,0.9911433474070704,9003.583456998645,8573.619273031909,5.014967078363013,1.0501496707836302,True,False,wasmtime,wasmtime
random_forest,48,wasmtime_only,5.31990905,5.417351396666667,1.7987082530150047,0.98201291746985,9256.332068692383,9207.763039054327,0.5274791437622016,1.005274791437622,True,False,wasmtime,wasmtime
random_forest,48,docker_only,5.31990905,9.061550025,41.29140119159692,0.5870859880840308,9256.332068692383,5422.8221639814665,70.69215601745518,1.7069215601745518,True,True,wasmtime,docker
random_forest,48,random,5.31990905,8.689630539166666,38.77865087564266,0.6122134912435734,9256.332068692383,5727.386853415623,61.615275964329456,1.6161527596432945,True,False,wasmtime,docker
random_forest,48,best_static,5.31990905,5.312790655,-0.13398598706878653,1.001339859870688,9256.332068692383,9262.886490788818,-0.07076003903267764,0.9992923996096732,True,True,wasmtime,wasmtime
random_forest,96,wasmtime_only,10.4452376725,10.571793347674419,1.1971069714700668,0.9880289302852994,9058.254174469996,8996.248070123465,0.6892440477764559,1.0068924404777646,True,True,wasmtime,wasmtime
random_forest,96,docker_only,10.4452376725,18.3911642125,43.205130725761016,0.5679486927423898,9058.254174469996,5318.592714863613,70.31298804203098,1.7031298804203097,True,True,wasmtime,docker
random_forest,96,random,10.4452376725,18.00586931,41.989817360837,0.58010182639163,9058.254174469996,5486.025794724785,65.1150489153764,1.651150489153764,True,True,wasmtime,docker
random_forest,96,best_static,10.4452376725,10.44914174,0.037362566200586415,0.9996263743379942,9058.254174469996,9058.747138798619,-0.005441859907004532,0.9999455814009299,True,True,wasmtime,wasmtime
random_forest,192,wasmtime_only,22.098277185,21.875194115,-1.0197992704761023,1.010197992704761,8613.325342236581,8664.195487517507,-0.5871306268910257,0.9941286937310897,True,True,wasmtime,wasmtime
